id,question,generated_answer,retrieved_book,retrieved_pages,confidence,retrieval_time,llm_time,total_time,retrieval_accuracy,precision_at_5,recall_at_5,mrr,ndcg_at_5,hit_rate_at_5,faithfulness,answer_relevance,groundedness,hallucination,latency,explainability,clinical_reliability,status
Q076,What defines a Krukenberg tumor?,,Oxford-Handbook-of-Oncology-4th-Ed,374,Low,1.18,29.09,30.35,1.0,0.2,1.0,0.3333,0.5,1.0,0.0,0.0,0.0,0.0,30.35,0.0,0.0,GENERATION_FAILED
Q077,What is the FLOT regimen used for?,,22.-Textbook-of-Medical-Oncology-Fourth-Edition-Cavalli-Textbook-of-Medical-Oncology-PDFDrive-,248,High,2.26,41.39,43.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,43.73,1.0,1.0,GENERATION_FAILED
Q078,What are common symptoms of right-sided colon tumors?,"Occult bleeding and a palpable mass. (Book: cancer-principles-and-practice-of-oncology-6e, Page: 847)",cancer-principles-and-practice-of-oncology-6e,847,Medium,1.9,35.49,37.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,0.4167,0.0,37.49,1.0,0.5229,SUCCESS
Q079,What does a 5-year survival rate of ~40% indicate in colorectal cancer?,"A 5-year survival rate of 41% to 42% in European and Indian registries indicates that approximately 41-42% of patients with colorectal cancer are expected to survive for at least 5 years after diagnosis. (Cancer-principles-and-practice-of-oncology-6e, Page: 840)",cancer-principles-and-practice-of-oncology-6e,839; 840,Medium,2.02,40.22,42.34,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8799,0.5,0.5556,42.34,0.75,0.5811,SUCCESS
Q080,What is the basic surgical treatment for testicular cancer?,Radical inguinal orchiectomy.,The MD Anderson Manual of Medical Oncology 3e,810,Medium,1.52,36.7,38.3,1.0,0.2,1.0,0.3333,0.5,1.0,0.0,0.6767,1.0,0.0,38.3,0.0,0.6692,SUCCESS
Q081,What factors determine the prognosis of prostate cancer?,"Tumor grade, tumor stage, and patient age are significant predictors of disease progression and survival in prostate cancer patients managed conservatively. Poorly differentiated disease is the single most important predictor of disease-specific survival. The likelihood of remaining metastasis-free 10 years after diagnosis varies by tumor differentiation: 81% for well-, 58% for moderately, and 26% for poorly differentiated tumors.",cancer-principles-and-practice-of-oncology-6e,992,High,3.85,46.59,50.52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8026,0.9333,0.1053,50.52,0.0,0.9077,SUCCESS
Q082,Why is TNM classification not applicable to brain tumors?,,cancer-principles-and-practice-of-oncology-6e,850,High,3.98,31.93,35.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,35.99,1.0,1.0,GENERATION_FAILED
Q083,What is the treatment strategy for generalized malignant melanoma with a BRAF V600 mutation?,"Dabrafenib, combined with chemotherapy, is approved for the treatment of metastatic melanoma patients with a BRAFV600 mutation. The treatment allows for cross-over to dabrafenib at disease progression if chemotherapy is not effective. Dose interruptions and anti- pyretics are used to control fevers, which occur in up to 30% of patients treated with dabrafenib.

(The MD Anderson Manual of Medical Oncology 3e, Page: 868)",The MD Anderson Manual of Medical Oncology 3e,867; 868,High,4.77,51.79,56.65,1.0,0.6,1.0,1.0,0.906,1.0,1.0,0.6961,0.6744,0.15,56.65,0.75,0.8051,SUCCESS
Q084,What is the most frequently used tumor marker for epithelial ovarian tumors?,"Serum CA-125 is the gold standard for tumor markers in the evaluation of pelvic masses, particularly epithelial ovarian cancers.",cancer-principles-and-practice-of-oncology-6e,1107,High,2.23,35.6,37.91,1.0,0.2,1.0,0.3333,0.5,1.0,1.0,0.8183,1.0,0.0,37.91,0.0,0.9546,SUCCESS
Q085,What characterizes the 'watch and wait' strategy in advanced follicular lymphoma?,"The ""watch and wait"" strategy in advanced follicular lymphoma involves a policy of delayed treatment for asymptomatic patients with low tumor burden, typically without immediate systemic therapy. This approach is often compared to immediate systemic treatment.",The MD Anderson Manual of Medical Oncology 3e,153,High,2.46,53.32,55.87,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9365,0.7308,0.25,55.87,0.0,0.7293,SUCCESS
Q086,What cytogenetic translocation is characteristic of Synovial Sarcoma?,SSX and SYT gene fusions on chromosomes X and 18.,cancer-principles-and-practice-of-oncology-6e,1306,Medium,2.74,37.7,40.51,1.0,0.2,1.0,0.3333,0.5,1.0,0.0,0.702,1.0,0.0,40.51,0.0,0.6755,SUCCESS
Q087,How does early detection of cancer influence the concept of lead-time bias?,"Early detection of cancer can result in a seeming lengthening of survival due to advancing the time of diagnosis of local disease, with little effect from earlier diagnosis of regional disease.",cancer-principles-and-practice-of-oncology-6e,149; 150,High,1.66,8.55,10.29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7378,0.8095,0.1429,10.29,0.0,0.8511,SUCCESS
Q088,What tumor marker is useful in the diagnosis and monitoring of pancreatic cancer?,Ki-ras gene mutation.,cancer-principles-and-practice-of-oncology-6e,442,Low,3.84,32.21,36.14,1.0,0.2,1.0,0.3333,0.5,1.0,1.0,0.5916,0.75,1.0,36.14,0.0,0.5854,SUCCESS
Q089,Which environmental carcinogen exposure is linked to the development of angiosarcoma of the liver?,"Thorotrast, vinyl chloride, and arsenic (including Fowler's 1% arsenic solution) have an established role in the development of hepatic angiosarcomas.",cancer-principles-and-practice-of-oncology-6e,1280,Medium,1.7,37.95,39.72,1.0,0.2,1.0,0.3333,0.5,1.0,0.0,0.7534,1.0,0.0,39.72,0.0,0.6884,SUCCESS
Q090,What are the common symptoms of spinal cord tumors?,"According to Table 43.2-10 in cancer-principles-and-practice-of-oncology-6e, Page 1521:

Distal effects are common to all spinal tumors sooner or later, and symptoms and signs are confined to structures innervated below the spinal cord level of involvement.

Local manifestations may reflect involvement of bone, with pain constituting the cardinal symptom of metastatic tumors. Involvement of spinal roots produces pain, sensory impairment, and weakness with atrophy in",cancer-principles-and-practice-of-oncology-6e,1521; 1520,High,0.87,55.04,55.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7884,0.8431,0.0667,55.99,0.75,0.8912,SUCCESS
Q091,What is the role of the p53 gene in cancer development?,"The p53 gene plays a crucial role in tumorigenesis by acting as a tumor suppressor, regulating cell-cycle arrest, response to DNA damage, apoptosis, angiogenesis, and differentiation. Mutations or allelic loss of chromosome 17p (where the TP53 gene is located) are observed in at least one-third of all three grades of adult astrocytomas, suggesting that p53 inactivation is important in the formation of grade II tumors.

TP53 mutations and allelic loss",cancer-principles-and-practice-of-oncology-6e,1509,High,2.71,55.57,58.4,1.0,0.4,1.0,0.3333,0.5706,1.0,1.0,0.8423,0.8776,0.0625,58.4,0.0,0.9143,SUCCESS
Q092,How does alcohol act synergistically with tobacco in head and neck cancer?,Alcohol acts synergistically with tobacco in head and neck cancer by increasing the risk >35 times that of a person who does neither.,Oxford-Handbook-of-Oncology-4th-Ed,467; 465; 466,Medium,2.64,35.35,38.09,1.0,0.4,1.0,0.3333,0.5706,1.0,1.0,0.8349,0.8667,0.5,38.09,0.0,0.8004,SUCCESS
Q093,What are the main roles of surgery in the management of cancer?,"Surgery plays two roles in the management of solid tumors: establishing a histologic diagnosis and staging the tumor, and resection of the primary site of disease.",cancer-principles-and-practice-of-oncology-6e,1565; 1566,High,3.42,33.64,37.14,1.0,0.2,1.0,0.3333,0.5,1.0,1.0,0.875,1.0,0.0,37.14,0.0,0.9688,SUCCESS
Q094,What characterizes the presentation of carcinoid tumors of the appendix?,,cancer-principles-and-practice-of-oncology-6e,832,Medium,2.7,29.21,32.01,1.0,0.2,1.0,0.3333,0.5,1.0,0.0,0.0,0.0,0.0,32.01,0.0,0.0,GENERATION_FAILED
Q095,What is the main driver of global cervical cancer disparities in mortality?,,cancer-principles-and-practice-of-oncology-6e,431,High,3.11,33.17,36.47,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,36.47,1.0,1.0,GENERATION_FAILED
Q096,What is 'liquid biopsy' in oncology?,,cancer-principles-and-practice-of-oncology-6e,164; 163,Medium,1.45,29.46,30.97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,30.97,1.0,1.0,GENERATION_FAILED
Q097,Why is the use of systemic therapy often deferred in indolent asymptomatic cancers?,,cancer-principles-and-practice-of-oncology-6e,731,Medium,1.57,29.29,30.93,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,30.93,1.0,1.0,GENERATION_FAILED
Q098,Which genetic syndrome predisposes individuals to medullary thyroid cancer?,MEN 2a and familial medullary thyroid carcinoma are associated with mutations in the RET protooncogene.,cancer-principles-and-practice-of-oncology-6e,420,High,1.11,38.42,39.6,1.0,0.6,1.0,1.0,0.906,1.0,1.0,0.8065,1.0,0.0,39.6,0.0,0.9516,SUCCESS
Q099,What is the typical clinical presentation of a rhabdomyosarcoma in children?,,cancer-principles-and-practice-of-oncology-6e,1595,High,4.35,42.24,46.78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,46.78,1.0,1.0,GENERATION_FAILED
Q100,What is the significance of the Philadelphia chromosome?,,The MD Anderson Manual of Medical Oncology 3e,130; 131,High,2.85,36.65,39.61,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,39.61,1.0,1.0,GENERATION_FAILED
